epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
53,0.0613,0.0379,0.0166,0.0988,0.0536,0.0988,0.9937,1.0,1.0,0.9631,0.9892,0.9631,0.25,0.25,0.25,0.25
54,0.0582,0.035,0.0138,0.0923,0.0498,0.0923,0.9946,1.0,1.0,0.964,0.9897,0.964,0.25,0.25,0.25,0.25
55,0.0578,0.035,0.0146,0.0881,0.0489,0.0881,0.9951,1.0,1.0,0.964,0.9898,0.964,0.25,0.25,0.25,0.25
56,0.058,0.0356,0.014,0.0941,0.0504,0.0941,0.9937,1.0,1.0,0.9631,0.9892,0.9631,0.25,0.25,0.25,0.25
57,0.0552,0.0347,0.0122,0.0848,0.0467,0.0848,0.9937,1.0,1.0,0.9716,0.9913,0.9716,0.25,0.25,0.25,0.25
58,0.0547,0.0338,0.0119,0.0795,0.045,0.0795,0.9951,1.0,1.0,0.9716,0.9917,0.9716,0.25,0.25,0.25,0.25
59,0.0548,0.0332,0.0106,0.0854,0.046,0.0854,0.9943,1.0,1.0,0.9678,0.9905,0.9678,0.25,0.25,0.25,0.25
60,0.052,0.0323,0.0113,0.0763,0.043,0.0763,0.9949,1.0,1.0,0.9754,0.9926,0.9754,0.25,0.25,0.25,0.25
61,0.0501,0.0271,0.0101,0.0733,0.0402,0.0733,0.996,1.0,1.0,0.9754,0.9928,0.9754,0.25,0.25,0.25,0.25
62,0.0498,0.028,0.0115,0.0734,0.0407,0.0734,0.9954,1.0,1.0,0.9726,0.992,0.9726,0.25,0.25,0.25,0.25
63,0.0489,0.0271,0.0111,0.0706,0.0394,0.0706,0.9963,1.0,1.0,0.9735,0.9924,0.9735,0.25,0.25,0.25,0.25
64,0.0484,0.0269,0.011,0.0685,0.0387,0.0685,0.9949,1.0,1.0,0.9763,0.9928,0.9763,0.25,0.25,0.25,0.25
