epoch,loss_g0,loss_g1,loss_g2,loss_g3,avg_loss,worst_loss,acc_g0,acc_g1,acc_g2,acc_g3,avg_acc,worst_acc,adv_prob_g0,adv_prob_g1,adv_prob_g2,adv_prob_g3
72,0.3954,0.3873,0.3377,0.4414,0.3904,0.4414,0.9291,0.9293,0.9286,0.859,0.9115,0.859,0.25,0.25,0.25,0.25
73,0.3909,0.3829,0.338,0.4382,0.3875,0.4382,0.9328,0.9402,0.9286,0.8543,0.914,0.8543,0.25,0.25,0.25,0.25
74,0.3913,0.3815,0.3299,0.4364,0.3848,0.4364,0.9294,0.9239,0.9286,0.8553,0.9093,0.8553,0.25,0.25,0.25,0.25
75,0.3872,0.3827,0.3238,0.4293,0.3808,0.4293,0.9317,0.9348,0.9107,0.8524,0.9074,0.8524,0.25,0.25,0.25,0.25
76,0.386,0.3763,0.3224,0.427,0.3779,0.427,0.9288,0.9402,0.9286,0.8609,0.9146,0.8609,0.25,0.25,0.25,0.25
77,0.3827,0.3746,0.3126,0.4231,0.3732,0.4231,0.9325,0.9348,0.9286,0.8628,0.9147,0.8628,0.25,0.25,0.25,0.25
78,0.381,0.3707,0.3079,0.4192,0.3697,0.4192,0.9325,0.9511,0.9286,0.8628,0.9188,0.8628,0.25,0.25,0.25,0.25
79,0.3783,0.3714,0.3052,0.4166,0.3679,0.4166,0.9314,0.9348,0.9464,0.8581,0.9177,0.8581,0.25,0.25,0.25,0.25
80,0.3752,0.3633,0.3003,0.4143,0.3633,0.4143,0.9348,0.9402,0.9286,0.8647,0.9171,0.8647,0.25,0.25,0.25,0.25
81,0.3714,0.3596,0.2978,0.411,0.36,0.411,0.9351,0.9457,0.9286,0.8647,0.9185,0.8647,0.25,0.25,0.25,0.25
82,0.3687,0.3555,0.2941,0.4074,0.3564,0.4074,0.9345,0.9511,0.9643,0.8742,0.931,0.8742,0.25,0.25,0.25,0.25
83,0.366,0.3546,0.2948,0.4065,0.3555,0.4065,0.9357,0.9511,0.9286,0.8685,0.921,0.8685,0.25,0.25,0.25,0.25
84,0.3624,0.351,0.2861,0.4064,0.3515,0.4064,0.9383,0.9348,0.9464,0.8638,0.9208,0.8638,0.25,0.25,0.25,0.25
85,0.359,0.346,0.2884,0.4068,0.35,0.4068,0.9374,0.9457,0.9286,0.859,0.9177,0.859,0.25,0.25,0.25,0.25
86,0.3547,0.3394,0.2783,0.4048,0.3443,0.4048,0.9394,0.9511,0.9464,0.8609,0.9245,0.8609,0.25,0.25,0.25,0.25
87,0.3528,0.3369,0.2742,0.4011,0.3413,0.4011,0.9385,0.9565,0.9286,0.8647,0.9221,0.8647,0.25,0.25,0.25,0.25
88,0.3499,0.3344,0.269,0.3987,0.338,0.3987,0.9388,0.962,0.9464,0.8609,0.927,0.8609,0.25,0.25,0.25,0.25
89,0.3483,0.3296,0.2626,0.3959,0.3341,0.3959,0.9385,0.9565,0.9286,0.8704,0.9235,0.8704,0.25,0.25,0.25,0.25
90,0.3458,0.3292,0.2686,0.3949,0.3346,0.3949,0.9374,0.9511,0.9464,0.8619,0.9242,0.8619,0.25,0.25,0.25,0.25
91,0.3436,0.3207,0.2569,0.3914,0.3281,0.3914,0.9394,0.962,0.9643,0.859,0.9312,0.859,0.25,0.25,0.25,0.25
92,0.3423,0.324,0.2506,0.3871,0.326,0.3871,0.9394,0.9565,0.9464,0.8694,0.9279,0.8694,0.25,0.25,0.25,0.25
93,0.3401,0.3166,0.2522,0.3827,0.3229,0.3827,0.9414,0.9565,0.9286,0.8685,0.9237,0.8685,0.25,0.25,0.25,0.25
94,0.3372,0.3143,0.2503,0.383,0.3212,0.383,0.9397,0.9565,0.9464,0.8666,0.9273,0.8666,0.25,0.25,0.25,0.25
95,0.3338,0.3103,0.2419,0.3824,0.3171,0.3824,0.9417,0.9783,0.9286,0.8685,0.9293,0.8685,0.25,0.25,0.25,0.25
96,0.3311,0.3082,0.2414,0.3788,0.3149,0.3788,0.9423,0.962,0.9464,0.8694,0.93,0.8694,0.25,0.25,0.25,0.25
97,0.3295,0.3032,0.2311,0.3759,0.3099,0.3759,0.9437,0.9674,0.9464,0.8713,0.9322,0.8713,0.25,0.25,0.25,0.25
98,0.3269,0.3025,0.2257,0.3743,0.3073,0.3743,0.9443,0.9674,0.9643,0.8723,0.9371,0.8723,0.25,0.25,0.25,0.25
